Model,Status,Certified since version,Year
HP EliteBook 2560p,Certified,103,2024
HP EliteBook 2740p,Decertified,103,2023
HP EliteBook 630 G9,Certified,129,2030
HP EliteBook 645 G10,Certified,125,2032
HP EliteBook 650 G10,Certified,129,2032
HP EliteBook 650 G9,Certified,129,2030
HP EliteBook 745 G5,Certified,122,2029
HP EliteBook 820 G1,Certified,103,2026
HP EliteBook 820 G2,Certified,103,2027
HP EliteBook 820 G3,Certified,103,2027
HP EliteBook 830 G5,Certified,119,2028
HP EliteBook 830 G6,Certified,115,2028
HP EliteBook 840 G1,Certified,103,2026
HP EliteBook 840 G2,Certified,103,2027
HP EliteBook 840 G3,Certified,103,2027
HP EliteBook 840 G4,Certified,103,2028
HP EliteBook 840 G5,Certified,103,2028
HP EliteBook 840 G6,Certified,103,2028
HP EliteBook 840 G7,Certified,128,2028
