Model,Status,Certified since version,Year
Lenovo ThinkPad E15,Certified,103,2028
Lenovo ThinkPad E440,Certified,103,2027
Lenovo ThinkPad E450,Certified,103,2027
Lenovo ThinkPad E480,Certified,103,2028
Lenovo ThinkPad E495,Certified,119,2030
Lenovo ThinkPad E531,Certified,103,2025
Lenovo ThinkPad E550,Certified,103,2027
Lenovo ThinkPad E560,Certified,103,2027
Lenovo ThinkPad Edge E430,Certified,103,2025
Lenovo ThinkPad Edge E530,Certified,103,2025
Lenovo ThinkPad L13 Gen 2,Certified,126,2030
Lenovo ThinkPad L14 Gen 1,Certified,121,2028
Lenovo ThinkPad L15 Gen 3,Certified,127,2033
Lenovo ThinkPad L15 Gen 4 (AMD),Certified,126,2033
Lenovo ThinkPad L380,Certified,118,2028
Lenovo ThinkPad L420,Certified,103,2024
Lenovo ThinkPad L430,Certified,104,2025
Lenovo ThinkPad L440,Certified,104,2026
Lenovo ThinkPad L460,Certified,103,2027
Lenovo ThinkPad L470,Certified,127,2028
Lenovo ThinkPad L480,Certified,103,2028
Lenovo ThinkPad L490,Certified,121,2028
Lenovo ThinkPad L570,Certified,122,2027
Lenovo ThinkPad L580,Certified,126,2028
Lenovo ThinkPad L590,Certified,126,2028
Lenovo ThinkPad T14 G4,Certified,128,2032
Lenovo ThinkPad T14 Gen 1 (Intel),Certified,103,2028
Lenovo ThinkPad T14 Gen 2 (AMD),Certified,125,2030
Lenovo ThinkPad T14 Gen 2 (Intel),Certified,125,2030
Lenovo ThinkPad T14s Gen 1 (AMD),Certified,103,2030
Lenovo ThinkPad T15 Gen 2,Certified,107,2030
Lenovo ThinkPad T410,Decertified,103,2023
Lenovo ThinkPad T420,Certified,103,2024
Lenovo ThinkPad T430,Certified,103,2025
Lenovo ThinkPad T430u,Certified,103,2025
Lenovo ThinkPad T440p,Certified,103,2026
Lenovo ThinkPad T460,Certified,103,2027
Lenovo ThinkPad T470,Certified,123,2028
Lenovo ThinkPad T470s,Certified,103,2028
Lenovo ThinkPad T480,Certified,103,2028
Lenovo ThinkPad T490,Certified,103,2028
Lenovo ThinkPad T510,Decertified,103,2023
Lenovo ThinkPad T530,Certified,103,2025
Lenovo ThinkPad T570,Certified,103,2028
Lenovo ThinkPad T580,Certified,112,2028
Lenovo ThinkPad T590,Certified,103,2028
Lenovo ThinkPad X1 Carbon 1st Gen,Certified,103,2025
Lenovo ThinkPad X1 Carbon 2nd Gen,Certified,103,2026
Lenovo ThinkPad X1 Carbon 3rd Gen,Certified,103,2027
Lenovo ThinkPad X1 Carbon 4th Gen,Certified,103,2027
Lenovo ThinkPad X1 Carbon 5th Gen,Certified,103,2027
Lenovo ThinkPad X1 Carbon 6th Gen,Certified,103,2028
Lenovo ThinkPad X1 Carbon 7th Gen,Certified,103,2028
Lenovo ThinkPad X1 Carbon 8th Gen,Certified,103,2028
Lenovo ThinkPad X1 Carbon 9th Gen,Certified,103,2030
Lenovo ThinkPad X13 Gen 1 (Intel),Certified,126,2028
Lenovo ThinkPad X140e,Certified,103,2026
Lenovo ThinkPad X201,Decertified,103,2023
Lenovo ThinkPad X201T Tablet,Decertified,103,2023
Lenovo ThinkPad X220,Certified,103,2024
Lenovo ThinkPad X230,Certified,103,2025
Lenovo ThinkPad X240,Certified,,2026
Lenovo ThinkPad X250,Certified,103,2027
Lenovo ThinkPad X260,Certified,103,2027
Lenovo ThinkPad X270,Certified,103,2027
Lenovo ThinkPad X280,Certified,103,2028
Lenovo ThinkPad X380 Yoga,Certified,103,2028
Lenovo ThinkPad X390,Certified,126,2028
Lenovo ThinkPad Yoga 11e G1,Certified,103,2026
Lenovo ThinkPad Yoga 11e G2,Certified,103,2027
Lenovo ThinkPad Yoga 11e G3,Certified,103,2028
Lenovo ThinkPad Yoga 11e G4,Certified,103,2028
Lenovo ThinkPad Yoga 11e G5,Certified,103,2028
Lenovo ThinkPad Yoga 11e G6,Certified,103,2028
Lenovo ThinkPad Yoga L390,Certified,103,2028
Lenovo Thinkcentre M800Z,Certified,103,2027
Lenovo Thinkcentre M910q,Certified,110,2027
Lenovo Thinkpad E14 Gen 1,Certified,103,2028
Lenovo Thinkpad E14 Gen 2,Certified,103,2030
Lenovo Thinkpad E14 Gen 4,Certified,122,2030
Lenovo Thinkpad T450,Certified,103,2027
Lenovo Thinkpad T540p,Certified,103,2026
Lenovo Thinkpad T560,Certified,104,2027
Lenovo V14 G2 ITL,Certified,119,2030
Lenovo V15 G3,Certified,127,2030
Lenovo V310z AIO,Certified,103,2028
Lenovo V330 AIO,Certified,114,2028
Lenovo V330-20ICB AIO,Certified,103,2028
Lenovo V520,Certified,114,2028
Lenovo V530,Certified,114,2028
Mdina Media M-2,Certified,129,2030
Microsoft Surface Laptop SE,Certified,103,2028
Microsoft Surface Pro 3,Certified,108,2026
Minisforum N36 Mini PC,Certified,103,2027
Minisforum S41,Certified,103,2028
Naver Whalebook,Certified,103,2028
PAR Wave,Certified,125,2029
Panasonic Toughbook FZ55,Certified,103,2028
Panasonic Toughpad FZ-G1,Certified,130,2027
Positivo 17SF,Certified,120,2028
Samsung KM24C-3,Certified,116,2030
Satsuki JWIPC H085,Certified,123,2029
Satsuki MP-OPS-GX,Certified,118,2030
Satsuki MP-ULS-PC,Certified,123,2032
Satsuki Mirai Touch MP-OPS-FW,Certified,106,2028
Seneca Element MP USFS-05,Certified,108,2029
Seneca Element MP-EL,Certified,114,2030
Seneca HDS USFS-01,Certified,117,2029
Sharp NEC SDM-VI3W-IS,Certified,106,2028
Shuttle DH610,Certified,120,2030
Shuttle DH670,Certified,120,2030
Sony VAIO VJPJ21,Certified,129,2030
Sony VAIO VJPK21,Certified,129,2030
Supermicro SYS-E100-13AD,Certified,130,2030
Techno Horizon ELMO Chrome-OPS S084,Certified,112,2030
Techno Horizon ELMO Chrome-OPS S104C,Certified,124,2030
Toshiba Portege Z30-C,Certified,103,2027
Toshiba Satellite C55-B,Certified,103,2026
Toshiba Satellite Pro A30-D,Certified,103,2028
Toshiba Satellite Pro A40-D,Certified,103,2028
Toshiba Satellite Pro R50-B,Certified,103,2026
Toshiba Satellite Pro R50-C,Certified,103,2027
Toshiba TCx 900,Certified,121,2030
Toshiba Tecra A40-C,Certified,103,2027
Toshiba Tecra C40-C,Certified,103,2027
Vexia S104P,Certified,125,2030
Zotac MA761,Certified,103,2026
Zotac ZBOX AQ01 PLUS,Certified,103,2026
Zotac ZBOX CI320 nano,Certified,103,2026
Zotac ZBOX CI327,Certified,103,2028
Zotac ZBOX CI329 nano,Certified,103,2028
Zotac ZBOX MA760,Certified,103,2027
Zotac ZBOX PI335 Pico,Minor issues expected,,2028
Zotac ZBOX PRO CI342GL,Certified,104,2029
Zotac ZBOX PRO PI336GL Series (SparkLan),Certified,104,2029
Zotac ZBOX PRO PI339 Pico,Certified,129,2030
Zotac ZBOX-CI331-AUS,Certified,114,2029
Zotac ZP-CI332-AUS,Certified,108,2029
Zotac ZP-CI342-AUS,Certified,107,2029
meldCX mCore+ Edge,Certified,120,2029
